name,value,year,lastValue,rank
Liverpool,4,1,0,1
Liverpool,6,2,4,2
Liverpool,7,3,6,4
Liverpool,9,4,7,3
Liverpool,11,5,9,3
Liverpool,14,6,11,2
Liverpool,15,7,14,2
Liverpool,15,8,15,5
Liverpool,16,9,15,4
Liverpool,20,10,16,4
Liverpool,21,11,20,4
Liverpool,23,12,21,4
Liverpool,26,13,23,4
Liverpool,27,14,26,4
Liverpool,30,15,27,4
Liverpool,34,16,30,3
Liverpool,37,17,34,2
Liverpool,39,18,37,3
Liverpool,43,19,39,2
Liverpool,48,20,43,2
Liverpool,49,21,48,2
Liverpool,50,22,49,2
Liverpool,54,23,50,2
Liverpool,55,24,54,2
Liverpool,56,25,55,2
Liverpool,59,26,56,2
Liverpool,59,27,59,2
Liverpool,64,28,59,2
Liverpool,64,29,64,2
Liverpool,68,30,64,2
Liverpool,70,31,68,2
Man City,2,1,0,3
Man City,8,2,2,1
Man City,9,3,8,1
Man City,11,4,9,1
Man City,14,5,11,1
Man City,19,6,14,1
Man City,21,7,19,1
Man City,21,8,21,1
Man City,26,9,21,1
Man City,27,10,26,1
Man City,33,11,27,1
Man City,36,12,33,1
Man City,40,13,36,1
Man City,43,14,40,1
Man City,45,15,43,1
Man City,45,16,45,1
Man City,48,17,45,1
Man City,50,18,48,1
Man City,51,19,50,1
Man City,54,20,51,1
Man City,56,21,54,1
Man City,59,22,56,1
Man City,62,23,59,1
Man City,63,24,62,1
Man City,68,25,63,1
Man City,74,26,68,1
Man City,74,27,74,1
Man City,75,28,74,1
Man City,76,29,75,1
Man City,79,30,76,1
Man City,79,31,79,1
Chelsea,3,1,0,2
Chelsea,6,2,3,2
Chelsea,8,3,6,2
Chelsea,10,4,8,2
Chelsea,14,5,10,1
Chelsea,14,6,14,2
Chelsea,15,7,14,2
Chelsea,18,8,15,3
Chelsea,20,9,18,3
Chelsea,24,10,20,2
Chelsea,27,11,24,2
Chelsea,27,12,27,2
Chelsea,28,13,27,2
Chelsea,30,14,28,3
Chelsea,31,15,30,3
Chelsea,33,16,31,4
Chelsea,35,17,33,4
Chelsea,35,18,35,5
Chelsea,37,19,35,5
Chelsea,38,20,37,6
Chelsea,38,21,38,6
Chelsea,40,22,38,6
Chelsea,40,23,40,6
Chelsea,40,24,40,6
Chelsea,45,25,40,6
Chelsea,45,26,45,6
Chelsea,45,27,45,6
Chelsea,47,28,45,6
Chelsea,49,29,47,6
Chelsea,50,30,49,6
Chelsea,50,31,50,6
Tottenham,2,1,0,3
Tottenham,5,2,2,4
Tottenham,8,3,5,2
Tottenham,9,4,8,3
Tottenham,10,5,9,4
Tottenham,12,6,10,4
Tottenham,14,7,12,4
Tottenham,15,8,14,5
Tottenham,16,9,15,4
Tottenham,16,10,16,7
Tottenham,19,11,16,6
Tottenham,20,12,19,6
Tottenham,23,13,20,5
Tottenham,25,14,23,5
Tottenham,28,15,25,5
Tottenham,30,16,28,5
Tottenham,31,17,30,5
Tottenham,37,18,31,4
Tottenham,42,19,37,3
Tottenham,43,20,42,3
Tottenham,46,21,43,3
Tottenham,46,22,46,3
Tottenham,48,23,46,3
Tottenham,50,24,48,3
Tottenham,51,25,50,3
Tottenham,54,26,51,3
Tottenham,55,27,54,3
Tottenham,55,28,55,4
Tottenham,56,29,55,5
Tottenham,57,30,56,5
Tottenham,57,31,57,5
Crystal Palace,2,1,0,3
Crystal Palace,2,2,2,11
Crystal Palace,3,3,2,12
Crystal Palace,3,4,3,15
Crystal Palace,4,5,3,16
Crystal Palace,4,6,4,17
Crystal Palace,5,7,4,17
Crystal Palace,5,8,5,18
Crystal Palace,5,9,5,19
Crystal Palace,7,10,5,17
Crystal Palace,8,11,7,17
Crystal Palace,8,12,8,18
Crystal Palace,8,13,8,19
Crystal Palace,10,14,8,19
Crystal Palace,11,15,10,19
Crystal Palace,13,16,11,17
Crystal Palace,14,17,13,18
Crystal Palace,17,18,14,16
Crystal Palace,17,19,17,16
Crystal Palace,17,20,17,18
Crystal Palace,19,21,17,16
Crystal Palace,20,22,19,16
Crystal Palace,23,23,20,15
Crystal Palace,24,24,23,17
Crystal Palace,26,25,24,15
Crystal Palace,27,26,26,16
Crystal Palace,31,27,27,13
Crystal Palace,32,28,31,13
Crystal Palace,35,29,32,12
Crystal Palace,36,30,35,13
Crystal Palace,36,31,36,13
Everton,2,1,0,3
Everton,4,2,2,6
Everton,6,3,4,6
Everton,7,4,6,7
Everton,8,5,7,8
Everton,8,6,8,10
Everton,11,7,8,8
Everton,13,8,11,8
Everton,15,9,13,7
Everton,16,10,15,7
Everton,19,11,16,6
Everton,19,12,19,8
Everton,20,13,19,7
Everton,20,14,20,8
Everton,21,15,20,8
Everton,23,16,21,8
Everton,24,17,23,9
Everton,26,18,24,8
Everton,31,19,26,7
Everton,31,20,31,7
Everton,31,21,31,7
Everton,33,22,31,7
Everton,34,23,33,7
Everton,35,24,34,8
Everton,36,25,35,8
Everton,36,26,36,8
Everton,36,27,36,9
